lief lif
send sEnd
strum strVm
watch wQJ
style st2l
hilt hIlt
shrift SrIft
craze kr1z
flat fl{t
chunk JVNk
pale p1l
fox fQks
blench blEnJ
tosh tQS
through Tru
naught n9t
light l2t
aye 2
paw p9
guard g#d
blond blQnd
cask k#sk
clout kl6t
mosque mQsk
hasp h#sp
caste k#st
trash tr{S
dice d2s
hap h{p
plug plVg
tribe tr2b
sump sVmp
log lQg
root rut
eaves ivz
van v{n
shred SrEd
arc #k
noise n4z
song sQN
ledge lE_
probe pr5b
lynch lInJ
odd Qd
doe d5
rig rIg
soil s4l
nigh n2
smock smQk
eff Ef
fag f{g
stash st{S
churn J3n
sphinx sfINks
tug tVg
soon sun
cost kQst
err 3
lounge l6n_
wreath riT
breve briv
dace d1s
mint mInt
heave hiv
church J3J
fowl f6l
grain gr1n
aunt #nt
tape t1p
shoo Su
eyot 1t
slob slQb
sioux su
owl 6l
drain dr1n
cowl k6l
meat mit
hue hW
kite k2t
read rid
goat g5t
herd h3d
wink wINk
fang f{N
womb wum
now n6
sup sVp
gel _El
serge s3_
check JEk
raw r9
loon lun
fain f1n
hot hQt
cant k{nt
seat sit
kiln kIln
ting tIN
wait w1t
thump TVmp
nix nIks
sponge spVn_
jump _Vmp
track tr{k
beef bif
quash kwQS
pet pEt
gilt gIlt
flint flInt
george _9_
spate sp1t
veld vElt
scrimp skrImp
fuss fVs
dash d{S
prey pr1
scalp sk{lp
shoe Su
slug slVg
yang j{N
rape r1p
lip lIp
wide w2d
loo lu
thwart Tw9t
calf k#f
nut nVt
jilt _Ilt
old 5ld
sip sIp
scud skVd
spark sp#k
twin twIn
use Ws
croon krun
soak s5k
john _Qn
corm k9m
dive d2v
cinch sInJ
swab swQb
spoon spun
mime m2m
hep hEp
teat tit
plate pl1t
gorse g9s
head hEd
hope h5p
oak 5k
trip trIp
harsh h#S
tat t{t
clause kl9z
scoot skut
sculpt skVlpt
cos kQs
quaint kw1nt
thence DEns
and {nd
dense dEns
dean din
mock mQk
clad kl{d
harm h#m
lye l2
bronze brQnz
shop SQp
curve k3v
grace gr1s
peel pil
learn l3n
maize m1z
when wEn
salt s9lt
stripe str2p
bib bIb
throne Tr5n
blink blINk
goose gus
hemp hEmp
jive _2v
sol sQl
thwack Tw{k
stroll str5l
lid lId
tuft tVft
frown fr6n
stark st#k
sad s{d
threat TrEt
lack l{k
risk rIsk
dare d8
pep pEp
yell jEl
snoop snup
punch pVnJ
splint splInt
bar b#
cuff kVf
fall f9l
re ri
phase f1z
rook rUk
young jVN
whang w{N
vex vEks
bruise bruz
care k8
ley l1
thus DVs
quin kwIn
half h#f
pug pVg
churl J3l
pouch p6J
nest nEst
much mVJ
scroll skr5l
chaw J9
zone z5n
jig _Ig
beet bit
wale w1l
pull pUl
slough sl6
fug fVg
oar 9
vie v2
plaint pl1nt
shah S#
leer l7
swarm sw9m
marc m#k
strafe str#f
flitch flIJ
hum hVm
chin JIn
vine v2n
raid r1d
norse n9s
roan r5n
teak tik
choke J5k
celt kElt
sic sIk
boo bu
frizz frIz
find f2nd
burp b3p
wroth r5T
dupe dWp
spud spVd
dross drQs
quits kwIts
hail h1l
brake br1k
waste w1st
guide g2d
waive w1v
me mi
north n9T
kill kIl
jew _u
sigh s2
blood blVd
lose luz
town t6n
blae bl1
leek lik
baste b1st
ban b{n
wack w{k
pray pr1
gay g1
land l{nd
steppe stEp
roc rQk
wall w9l
fief fif
lees liz
we wi
cruel krul
pipe p2p
mouth m6D
rinse rIns
flute flut
cramp kr{mp
hark h#k
drub drVb
tweed twid
parr p#
grim grIm
myrrh m3
kilt kIlt
egg Eg
grudge grV_
hooch huJ
mirth m3T
pimp pImp
daunt d9nt
chart J#t
name n1m
two tu
blob blQb
freak frik
brisk brIsk
cart k#t
clef klEf
larch l#J
mouse m6z
tooth tuT
spoil sp4l
buhl bul
fresh frES
brine br2n
cold k5ld
boar b9
queer kw7
chug JVg
mote m5t
slough slVf
mu mW
crime kr2m
strong strQN
groan gr5n
plod plQd
buff bVf
crimp krImp
spoor sp9
gent _Ent
rep rEp
mouth m6T
merge m3_
dunce dVns
furl f3l
drill drIl
ford f9d
nun nVn
groat gr5t
round r6nd
chuck JVk
crowd kr6d
clink klINk
gull gVl
street strit
rear r7
squint skwInt
ridge rI_
bilk bIlk
mull mVl
scow sk6
trounce tr6ns
gall g9l
stay st1
buoy b4
spawn sp9n
mouse m6s
crab kr{b
froth frQT
self sElf
throw Tr5
snag sn{g
flight fl2t
port p9t
hand h{nd
tense tEns
loan l5n
reeve riv
brain br1n
toll t5l
rick rIk
hind h2nd
thief Tif
dent dEnt
myth mIT
beg bEg
suite swit
most m5st
trend trEnd
hertz h3ts
cog kQg
casque k{sk
creep krip
damp d{mp
fume fWm
drear dr7
ruck rVk
bring brIN
tech tEk
birch b3J
far f#
stud stVd
french frEnJ
clock klQk
dog dQg
tart t#t
bout b6t
grunt grVnt
sue su
twee twi
pill pIl
lisle l2l
scrape skr1p
heir 8
jeep _ip
splash spl{S
cast k#st
keg kEg
squab skwQb
sloop slup
pang p{N
couch k6J
swot swQt
cow k6
sly sl2
fleck flEk
lace l1s
frond frQnd
stew stW
whiz wIz
ten tEn
tow t5
price pr2s
ghoul gul
day d1
dry dr2
drab dr{b
vague v1g
stodge stQ_
shard S#d
sikh sik
hedge hE_
swipe sw2p
pig pIg
carp k#p
mutt mVt
mink mINk
jot _Qt
spew spW
drug drVg
sleet slit
skep skEp
thresh TrES
hawk h9k
boll b5l
bench bEnJ
stretch strEJ
meld mEld
mores m9z
blot blQt
feint f1nt
shit SIt
walk w9k
ponce pQns
budge bV_
can k{n
box bQks
sec sEk
stamp st{mp
sham S{m
mag m{g
string strIN
mole m5l
yoke j5k
si si
steel stil
bat b{t
per p3
feel fil
khmer km8
cunt kVnt
flout fl6t
bod bQd
bleach bliJ
scold sk5ld
judge _V_
gush gVS
speed spid
venge vEn_
schwa Sw#
gun gVn
down d6n
lode l5d
pen pEn
mode m5d
veal vil
scowl sk6l
whirl w3l
have h{v
strew stru
sketch skEJ
toe t5
grog grQg
troop trup
bier b7
lave l1v
muck mVk
mat m{t
peat pit
harp h#p
cell sEl
pock pQk
halt h9lt
pint p2nt
saint s1nt
fruit frut
arse #s
ache 1k
strike str2k
den dEn
snarl sn#l
gird g3d
own 5n
lunge lVn_
gasp g#sp
lake l1k
hose h5z
mean min
dime d2m
trek trEk
mug mVg
act {kt
bread brEd
mark m#k
tot tQt
queen kwin
wild w2ld
scale sk1l
sulk sVlk
charge J#_
sieve sIv
link lINk
stern st3n
cup kVp
home h5m
jinx _INks
tube tWb
bay b1
food fud
bribe br2b
rough rVf
your j9
mope m5p
theme Tim
duct dVkt
frank fr{Nk
groyne gr4n
corn k9n
soot sUt
cuss kVs
scream skrim
stab st{b
cub kVb
sheikh S1k
plant pl{nt
eve iv
gad g{d
heal hil
soap s5p
puss pUs
dew dW
snob snQb
ore 9
joule _ul
wear w8
i 2
slag sl{g
plash pl{S
cause k9z
slosh slQS
mist mIst
fee fi
trout tr6t
pat p{t
squash skwQS
clunk klVNk
hen hEn
jamb _{m
blithe bl2D
sap s{p
cyst sIst
thou D6
craft kr#ft
bawd b9d
brute brut
joy _4
of Qv
goof guf
fair f8
tell tEl
quail kw1l
clump klVmp
buy b2
hatch h{J
bold b5ld
stair st8
rip rIp
scuff skVf
luv lVv
cheque JEk
broach br5J
node n5d
prole pr5l
cue kW
wright r2t
grieve griv
cone k5n
too tu
wipe w2p
lakh l#k
plough pl6
slab sl{b
bee bi
while w2l
gill gIl
cache k{S
share S8
ream rim
par p#
tiff tIf
get gEt
ass {s
sans s{nz
snitch snIJ
pee pi
blouse bl6z
milch mIlJ
chat J{t
sting stIN
heed hid
suck sVk
wrath rQT
corps k9
deem dim
tap t{p
crawl kr9l
tract tr{kt
deer d7
pound p6nd
ye ji
frump frVmp
buzz bVz
wraith r1T
sane s1n
dick dIk
douche duS
grate gr1t
shade S1d
wet wEt
prong prQN
loch lQk
sow s6
tuck tVk
pyx pIks
neat nit
group grup
spend spEnd
straw str9
rule rul
win wIn
hill hIl
scruff skrVf
prize pr2z
frieze friz
poove puv
bright br2t
shield Sild
close kl5s
row r6
suave sw#v
verse v3s
team tim
croup krup
dump dVmp
mule mWl
loom lum
shed SEd
tempt tEmpt
green grin
smell smEl
snake sn1k
flood flVd
miss mIs
yowl j6l
ship SIp
pie p2
need nid
scoop skup
prove pruv
chime J2m
blimp blImp
hake h1k
masque m#sk
creed krid
toots tuts
cheek Jik
brig brIg
think TINk
bridge brI_
as {z
stoke st5k
strict strIkt
borsch b9S
fret frEt
flirt fl3t
hoist h4st
clot klQt
peek pik
twang tw{N
curb k3b
please pliz
huge hW_
dock dQk
mate m1t
coy k4
crag kr{g
neigh n1
lent lEnt
step stEp
bock bQk
mash m{S
white w2t
gross gr5s
gaze g1z
gale g1l
brag br{g
berk b3k
rile r2l
cox kQks
slight sl2t
tack t{k
gruel grul
goon gun
dark d#k
seed sid
brave br1v
use Wz
yawn j9n
stead stEd
skill skIl
pert p3t
silt sIlt
fern f3n
cat k{t
steam stim
dim dIm
crate kr1t
horse h9s
prime pr2m
piece pis
lien l7n
ploy pl4
rink rINk
nod nQd
third T3d
beak bik
nymph nImf
beer b7
dot dQt
clip klIp
pox pQks
skirl sk3l
etch EJ
bream brim
crock krQk
chaise S1z
pad p{d
duck dVk
claw kl9
keep kip
toff tQf
deign d1n
art #t
plump plVmp
broad br9d
drake dr1k
blare bl8
wool wUl
clinch klInJ
po p5
eye 2
yaw j9
west wEst
wench wEnJ
grange gr1n_
staid st1d
wane w1n
copt kQpt
sprawl spr9l
din dIn
hitch hIJ
limn lIm
dine d2n
bent bEnt
graze gr1z
slurp sl3p
pick pIk
stem stEm
spit spIt
class kl#s
claque kl{k
brunt brVnt
wad wQd
vote v5t
herb h3b
earl 3l
lens lEnz
imp Imp
wig wIg
wax w{ks
snug snVg
goal g5l
coo ku
loam l5m
wife w2f
flounce fl6ns
latch l{J
guild gIld
boon bun
vault v9lt
teg tEg
guilt gIlt
court k9t
fro fr5
skim skIm
winch wInJ
school skul
rogue r5g
wee wi
whist wIst
waif w1f
curd k3d
purr p3
whelk wElk
hide h2d
drawl dr9l
shale S1l
swamp swQmp
yen jEn
shirk S3k
fight f2t
note n5t
blitz blIts
beach biJ
bush bUS
nog nQg
pap p{p
rill rIl
strip strIp
fare f8
bath b#T
base b1s
lav l{v
doff dQf
tic tIk
yes jEs
jail _1l
deck dEk
wight w2t
isle 2l
brow br6
bud bVd
dunk dVNk
my m2
swede swid
blip blIp
chard J#d
road r5d
coin k4n
wadge wQ_
hold h5ld
whirr w3
squaw skw9
mam m{m
slur sl3
grippe grIp
qualm kw#m
date d1t
blast bl#st
six sIks
realm rElm
lung lVN
pour p9
splay spl1
shell SEl
snore sn9
quern kw3n
haze h1z
serf s3f
tree tri
yacht jQt
jib _Ib
sheen Sin
league lig
foil f4l
scoff skQf
whoop wup
each iJ
fey f1
sear s7
raft r#ft
mum mVm
owe 5
bight b2t
guess gEs
ox Qks
spent spEnt
loft lQft
zest zEst
build bIld
month mVnT
lade l1d
pier p7
lax l{ks
writ rIt
grow gr5
gape g1p
fraud fr9d
man m{n
swinge swIn_
plain pl1n
ease iz
lass l{s
mar m#
type t2p
sir s3
void v4d
spree spri
yule Wl
ear 7
snip snIp
gem _Em
wren rEn
ace 1s
do d5
coil k4l
trust trVst
nay n1
jab _{b
bell bEl
loath l5T
deep dip
cab k{b
asp {sp
stet stEt
rum rVm
hie h2
bland bl{nd
jar _#
count k6nt
rouse r6z
kin kIn
fear f7
wont w5nt
zip zIp
tout t6t
waist w1st
twit twIt
grille grIl
will wIl
puke pWk
noon nun
cosh kQS
taste t1st
both b5T
pulp pVlp
brand br{nd
firth f3T
hip hIp
dodge dQ_
spool spul
glare gl8
snide sn2d
bust bVst
lea li
float fl5t
puce pWs
oust 6st
twine tw2n
wag w{g
ruff rVf
her h3
slate sl1t
